region,pohlavie,typ_skupiny,skupina,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Nitriansky kraj,Muži,vek,55+,0.5,0.3,0.6,0.6,0.9,1.1,1.4,0.3,1.0,1.4,1.6,2.2,3.0,2.5,2.7,2.3,1.5,0.7,1.7,2.9,3.1
Nitriansky kraj,Ženy,vek,55+,1.0,0.4,0.9,1.4,2.3,1.4,2.1,1.7,1.9,1.9,2.6,2.7,2.5,2.2,2.1,1.6,1.2,1.0,0.8,0.7,0.5
Nitriansky kraj,Muži,vzdelanie,Základné a bez vzdelania,1.8,0.7,1.2,1.8,1.5,0.7,1.2,1.5,2.3,1.0,2.4,3.4,3.5,2.9,3.6,3.0,3.7,1.7,3.2,3.2,6.6
Nitriansky kraj,Ženy,vzdelanie,Základné a bez vzdelania,0.7,0.8,1.1,1.9,1.5,1.3,0.9,1.6,2.6,3.0,3.2,2.9,2.6,3.8,3.4,4.3,4.2,2.8,4.4,5.2,6.2
Nitriansky kraj,Muži,vzdelanie,Nižšie stredné,2.4,2.6,2.0,2.0,2.5,2.9,2.4,2.9,4.1,6.8,7.9,11.0,10.8,11.1,11.4,13.8,9.8,6.2,10.8,15.6,20.4
Nitriansky kraj,Ženy,vzdelanie,Nižšie stredné,2.4,0.6,0.9,1.6,1.3,1.7,2.4,2.5,3.3,5.4,5.9,5.9,8.7,9.6,10.8,14.1,11.8,9.4,7.4,8.4,9.4
Nitriansky kraj,Muži,vzdelanie,Úplné stredné,1.3,1.2,2.4,2.1,1.8,4.7,3.2,2.6,4.5,5.7,6.4,6.8,7.3,5.9,5.3,7.8,5.4,3.1,3.9,4.1,6.7
Nitriansky kraj,Ženy,vzdelanie,Úplné stredné,2.3,3.5,3.6,3.1,4.3,3.7,4.2,3.1,3.6,4.9,7.1,8.0,9.6,8.4,7.4,10.0,8.5,6.8,6.1,6.7,10.4
Nitriansky kraj,Muži,vzdelanie,Vysokoškolské,0.2,0.4,0.5,0.8,0.2,0.7,0.8,0.5,0.5,1.2,2.0,1.1,0.9,1.3,0.5,1.1,1.0,0.6,1.3,0.6,0.8
Nitriansky kraj,Ženy,vzdelanie,Vysokoškolské,1.3,0.7,0.6,1.6,2.1,1.9,0.5,1.4,1.2,2.5,2.5,2.2,2.1,2.8,0.5,0.2,1.5,1.2,0.5,1.3,1.0
Stredné Slovensko,Muži,vek,15-24,3.5,4.4,4.0,6.0,5.0,5.1,3.0,5.0,5.8,7.2,11.2,12.5,14.4,16.0,15.3,14.3,13.3,10.5,10.2,13.4,16.8
Stredné Slovensko,Ženy,vek,15-24,0.8,1.7,2.7,2.3,2.9,2.6,2.6,4.1,4.5,5.4,5.9,6.1,7.4,7.9,8.2,8.7,6.4,6.1,8.1,9.8,11.3
Stredné Slovensko,Muži,vek,25-34,3.7,3.5,4.6,5.2,6.7,8.0,8.0,9.2,9.0,8.8,10.3,18.7,18.8,16.0,17.9,17.7,14.2,12.2,10.9,12.9,16.2
Stredné Slovensko,Ženy,vek,25-34,6.4,4.2,4.3,5.8,5.7,4.0,5.4,6.8,8.6,8.8,10.4,13.4,14.5,15.2,13.5,11.8,13.1,13.3,15.7,14.9,18.0
Stredné Slovensko,Muži,vek,35-44,4.4,2.6,4.4,6.6,9.2,8.0,5.3,6.9,9.9,9.2,8.9,10.4,12.9,13.9,13.0,11.2,10.5,9.1,10.7,11.0,14.6
Stredné Slovensko,Ženy,vek,35-44,3.8,5.0,4.8,4.9,4.8,5.8,4.5,4.9,6.4,7.7,11.4,10.4,11.1,8.4,10.0,12.9,11.1,10.2,12.3,13.6,15.6
Stredné Slovensko,Muži,vek,45-54,2.5,4.7,4.8,3.4,3.8,3.8,4.4,4.0,6.3,9.4,9.2,10.6,12.3,10.0,10.0,10.6,10.0,8.6,8.8,11.2,13.4
Stredné Slovensko,Ženy,vek,45-54,4.2,3.6,4.9,4.9,5.2,3.2,3.1,3.7,5.3,6.8,9.9,12.8,9.6,9.3,10.2,11.6,10.0,8.5,14.1,15.3,15.3
Stredné Slovensko,Muži,vek,55+,2.8,1.9,2.2,3.0,3.6,1.3,1.9,2.7,3.8,5.8,5.3,7.7,7.3,7.3,5.4,6.2,3.7,4.3,5.1,4.0,4.5
Stredné Slovensko,Ženy,vek,55+,4.5,2.4,3.1,2.5,3.5,3.0,3.2,3.5,4.8,4.7,5.3,5.3,5.6,5.1,2.7,4.0,2.8,2.5,2.5,1.9,2.4
Stredné Slovensko,Muži,vzdelanie,Základné a bez vzdelania,4.7,6.8,5.2,5.4,6.2,6.4,7.5,8.4,7.7,7.4,7.5,12.8,11.3,9.4,9.2,10.2,12.1,13.4,14.3,13.6,14.3
Stredné Slovensko,Ženy,vzdelanie,Základné a bez vzdelania,4.3,4.7,4.6,5.5,5.6,3.1,4.3,4.7,5.0,7.4,7.2,8.9,8.9,7.2,4.8,7.8,10.8,13.9,17.6,15.4,15.8
Stredné Slovensko,Muži,vzdelanie,Nižšie stredné,5.3,3.6,7.3,8.3,9.7,9.0,6.7,10.0,13.1,15.3,19.0,26.2,30.0,31.8,29.1,26.1,22.1,20.4,19.6,24.2,31.9
Stredné Slovensko,Ženy,vzdelanie,Nižšie stredné,3.9,3.1,5.1,4.8,4.8,3.9,4.4,4.4,7.9,9.8,13.3,16.0,17.0,17.6,15.0,17.5,13.8,14.3,17.0,19.9,22.2
Stredné Slovensko,Muži,vzdelanie,Úplné stredné,6.0,5.8,6.2,8.9,9.4,8.0,6.1,7.7,10.8,13.0,16.0,18.1,20.7,18.5,20.7,20.3,15.9,9.0,9.7,12.7,16.0
Stredné Slovensko,Ženy,vzdelanie,Úplné stredné,8.9,7.3,7.1,6.5,7.9,8.5,6.3,10.6,12.6,12.1,16.8,17.7,17.2,17.2,18.5,19.0,15.9,10.9,15.9,18.7,22.0
Stredné Slovensko,Muži,vzdelanie,Vysokoškolské,1.0,1.0,1.3,1.5,3.0,2.8,2.3,1.7,3.3,4.7,2.4,2.7,3.6,3.5,2.6,3.3,1.6,2.0,2.2,2.0,3.2
Stredné Slovensko,Ženy,vzdelanie,Vysokoškolské,2.5,1.8,3.0,3.8,3.7,3.1,3.8,3.2,4.0,4.2,5.5,5.5,5.1,3.9,6.3,4.7,3.0,1.5,2.5,1.6,2.6
Žilinský kraj,Muži,vek,15-24,0.5,1.4,1.7,2.2,1.9,1.8,0.8,2.1,2.2,2.9,4.4,5.0,5.9,7.7,7.1,6.8,5.1,2.9,3.3,4.8,7.7
Žilinský kraj,Ženy,vek,15-24,0.5,0.1,0.7,0.8,1.1,1.1,0.8,1.5,1.7,2.6,2.7,3.3,3.2,3.8,3.8,3.8,2.7,2.1,2.3,4.1,4.8
Žilinský kraj,Muži,vek,25-34,0.7,0.5,1.9,2.3,2.7,3.3,2.5,3.5,2.7,2.5,3.0,7.6,7.6,6.2,6.6,7.6,4.4,3.5,3.7,4.5,5.1
Žilinský kraj,Ženy,vek,25-34,2.4,2.6,1.8,2.3,2.7,2.1,2.4,2.1,2.8,4.6,5.8,6.5,5.4,7.0,5.9,4.3,4.6,4.1,5.4,4.5,7.2
Žilinský kraj,Muži,vek,35-44,1.4,0.9,1.1,1.7,2.5,2.6,1.1,1.2,2.8,3.3,3.5,4.2,5.2,5.0,5.9,5.1,3.3,1.8,3.4,4.0,5.5
Žilinský kraj,Ženy,vek,35-44,2.0,1.8,0.7,0.5,0.6,2.6,2.2,2.0,2.5,3.5,4.7,4.5,5.6,4.3,5.3,7.0,4.6,2.7,3.1,4.7,6.9
Žilinský kraj,Muži,vek,45-54,0.5,0.5,0.7,0.6,1.0,2.1,2.7,2.9,3.4,3.9,3.3,4.6,5.7,4.7,4.4,4.8,3.1,2.7,3.1,4.1,4.4
Žilinský kraj,Ženy,vek,45-54,1.2,1.0,1.6,2.0,2.2,1.4,1.1,1.5,2.2,2.9,4.7,5.6,3.8,4.4,4.8,4.8,4.7,4.1,6.4,6.4,6.0
Žilinský kraj,Muži,vek,55+,0.1,0.6,1.1,0.8,1.5,0.8,0.9,1.1,1.6,2.1,1.6,2.5,2.9,2.9,2.5,3.1,1.8,1.1,2.1,1.6,1.7
Žilinský kraj,Ženy,vek,55+,1.3,1.1,0.7,0.6,1.2,1.0,1.1,1.1,1.2,1.6,1.8,2.3,1.9,2.1,1.4,1.5,0.9,0.9,0.7,0.7,1.1
Žilinský kraj,Muži,vzdelanie,Základné a bez vzdelania,0.1,0.9,0.1,0.4,0.4,1.0,1.3,1.9,1.3,1.9,1.3,2.0,2.5,2.4,2.0,3.1,3.2,2.0,3.6,2.9,4.0
Žilinský kraj,Ženy,vzdelanie,Základné a bez vzdelania,,,0.2,0.5,0.9,0.4,0.3,0.5,1.2,2.5,2.9,2.0,1.1,2.0,1.2,1.7,1.4,3.2,4.4,3.3,5.6
Žilinský kraj,Muži,vzdelanie,Nižšie stredné,1.6,1.5,3.4,3.0,4.0,4.5,3.2,4.2,5.7,5.9,7.1,12.6,14.6,14.6,14.0,14.2,8.6,5.7,6.6,10.1,12.3
Žilinský kraj,Ženy,vzdelanie,Nižšie stredné,1.2,1.9,1.3,0.9,2.1,2.3,2.5,1.7,2.8,4.3,6.2,8.0,8.0,8.5,6.1,7.9,6.8,5.5,6.6,8.4,10.4
Žilinský kraj,Muži,vzdelanie,Úplné stredné,1.3,1.3,2.3,3.7,4.5,3.9,2.6,3.0,4.2,5.3,7.0,8.5,8.3,7.6,8.7,8.7,5.0,3.4,4.3,4.5,6.3
Žilinský kraj,Ženy,vzdelanie,Úplné stredné,4.9,3.7,2.7,3.0,2.7,4.3,2.7,4.3,5.1,6.3,7.2,8.6,7.8,8.4,10.7,9.4,7.8,4.6,5.7,7.9,9.1
Žilinský kraj,Muži,vzdelanie,Vysokoškolské,0.1,0.1,0.6,0.5,0.6,1.3,0.9,1.6,1.6,1.5,0.4,0.8,2.0,1.8,1.8,1.5,1.0,0.9,1.3,1.5,1.9
Žilinský kraj,Ženy,vzdelanie,Vysokoškolské,1.3,1.1,1.3,1.9,2.1,1.2,2.0,1.5,1.3,2.2,3.5,3.5,3.0,2.7,3.3,2.4,1.6,0.6,1.2,0.9,1.0
Banskobystrický kraj,Muži,vek,15-24,3.0,3.0,2.4,3.9,3.1,3.3,2.3,2.9,3.6,4.3,6.8,7.5,8.5,8.3,8.2,7.5,8.2,7.6,6.9,8.5,9.0
Banskobystrický kraj,Ženy,vek,15-24,0.3,1.6,1.9,1.5,1.8,1.5,1.9,2.7,2.9,2.8,3.2,2.8,4.2,4.1,4.4,5.0,3.7,4.0,5.8,5.7,6.5
Banskobystrický kraj,Muži,vek,25-34,3.0,3.0,2.7,2.9,4.1,4.8,5.5,5.7,6.4,6.3,7.4,11.1,11.2,9.8,11.4,10.2,9.8,8.7,7.2,8.4,11.0
Banskobystrický kraj,Ženy,vek,25-34,3.9,1.6,2.4,3.5,3.0,1.8,3.0,4.7,5.8,4.2,4.6,6.9,9.1,8.2,7.6,7.5,8.5,9.1,10.4,10.4,10.8
Banskobystrický kraj,Muži,vek,35-44,3.1,1.8,3.3,4.9,6.7,5.3,4.2,5.7,7.2,5.9,5.4,6.2,7.7,8.9,7.1,6.1,7.2,7.3,7.2,7.1,9.1
Banskobystrický kraj,Ženy,vek,35-44,1.8,3.2,4.1,4.4,4.2,3.2,2.3,2.9,3.9,4.2,6.8,5.9,5.5,4.0,4.7,6.0,6.5,7.5,9.2,8.9,8.7
Banskobystrický kraj,Muži,vek,45-54,2.1,4.2,4.1,2.8,2.8,1.7,1.8,1.1,2.8,5.5,5.9,6.0,6.6,5.4,5.6,5.8,6.8,6.0,5.6,7.1,9.0
Banskobystrický kraj,Ženy,vek,45-54,3.0,2.6,3.3,2.9,3.0,1.8,2.0,2.1,3.1,3.9,5.2,7.2,5.8,4.9,5.3,6.8,5.2,4.4,7.8,8.8,9.3
Banskobystrický kraj,Muži,vek,55+,2.8,1.3,1.1,2.2,2.1,0.5,1.0,1.7,2.2,3.7,3.8,5.2,4.4,4.4,2.9,3.1,1.9,3.2,3.0,2.4,2.8
Banskobystrický kraj,Ženy,vek,55+,3.2,1.2,2.5,2.0,2.3,2.0,2.0,2.5,3.6,3.2,3.4,3.1,3.7,3.0,1.2,2.5,2.0,1.7,1.9,1.2,1.3
Banskobystrický kraj,Muži,vzdelanie,Základné a bez vzdelania,4.5,5.9,5.1,5.0,5.7,5.4,6.2,6.5,6.4,5.5,6.3,10.7,8.9,7.1,7.2,7.1,8.9,11.4,10.7,10.7,10.4
Banskobystrický kraj,Ženy,vzdelanie,Základné a bez vzdelania,4.3,4.7,4.4,5.0,4.7,2.7,4.0,4.2,3.9,4.9,4.3,6.8,7.8,5.3,3.6,6.1,9.4,10.7,13.2,12.1,10.3
Banskobystrický kraj,Muži,vzdelanie,Nižšie stredné,3.7,2.1,3.9,5.3,5.7,4.5,3.5,5.8,7.3,9.4,11.9,13.7,15.4,17.2,15.1,11.9,13.5,14.7,13.0,14.1,19.7
Banskobystrický kraj,Ženy,vzdelanie,Nižšie stredné,2.6,1.2,3.9,3.8,2.7,1.6,2.0,2.7,5.1,5.5,7.2,8.0,9.0,9.0,8.9,9.6,7.0,8.8,10.4,11.4,11.8
Banskobystrický kraj,Muži,vzdelanie,Úplné stredné,4.7,4.5,3.9,5.2,4.9,4.2,3.5,4.7,6.6,7.6,9.1,9.6,12.4,10.8,12.0,11.7,11.0,5.7,5.3,8.2,9.7
Banskobystrický kraj,Ženy,vzdelanie,Úplné stredné,4.0,3.6,4.3,3.5,5.2,4.2,3.5,6.3,7.5,5.9,9.7,9.1,9.5,8.7,7.8,9.6,8.2,6.3,10.2,10.8,13.0
Banskobystrický kraj,Muži,vzdelanie,Vysokoškolské,0.8,0.9,0.8,1.0,2.4,1.5,1.4,0.2,1.7,3.1,1.9,2.0,1.6,1.7,0.9,1.9,0.6,1.1,0.9,0.6,1.3
Banskobystrický kraj,Ženy,vzdelanie,Vysokoškolské,1.2,0.7,1.6,1.9,1.7,1.9,1.8,1.7,2.8,2.0,2.0,2.0,2.2,1.2,3.0,2.3,1.4,0.9,1.3,0.7,1.6
Východné Slovensko,Muži,vek,15-24,7.4,9.9,11.8,7.6,9.8,8.5,8.3,8.7,12.4,11.4,12.4,13.9,18.1,18.5,18.3,19.2,15.4,11.7,16.1,19.2,23.3
Východné Slovensko,Ženy,vek,15-24,5.1,6.2,5.2,6.2,6.2,6.4,6.2,5.1,7.0,8.0,8.2,9.1,9.2,11.9,11.6,10.8,12.1,8.9,9.3,13.8,16.9
Východné Slovensko,Muži,vek,25-34,12.2,9.2,9.2,9.5,11.4,10.7,9.6,9.2,13.7,12.7,16.0,23.8,24.2,22.8,24.7,23.1,19.5,13.2,16.2,19.9,26.0
Východné Slovensko,Ženy,vek,25-34,8.3,9.9,9.1,8.0,8.3,9.5,8.3,11.2,11.2,14.3,15.3,16.5,19.3,19.1,16.8,15.4,14.3,13.0,13.9,16.9,20.4
Východné Slovensko,Muži,vek,35-44,10.7,7.1,9.9,11.4,11.3,9.6,8.9,7.8,10.9,11.1,13.1,12.2,14.9,15.5,14.5,16.2,13.1,9.8,12.2,16.8,19.5
Východné Slovensko,Ženy,vek,35-44,9.9,12.7,11.8,11.0,11.2,11.5,8.2,11.6,11.5,11.7,16.2,15.4,15.4,15.1,15.3,17.4,14.2,12.2,12.1,17.0,19.8
Východné Slovensko,Muži,vek,45-54,4.4,5.1,5.4,5.5,6.9,7.1,6.1,7.9,8.4,8.9,11.0,13.2,13.9,13.9,15.3,14.4,11.7,10.2,9.4,13.5,16.2
Východné Slovensko,Ženy,vek,45-54,8.4,7.6,8.0,8.9,8.8,8.0,7.2,7.9,8.8,10.4,12.8,10.6,12.6,14.8,13.8,12.8,11.4,12.3,13.0,16.8,17.8
Východné Slovensko,Muži,vek,55+,3.5,3.0,4.7,5.6,5.9,5.6,3.8,4.3,5.0,6.4,5.5,6.5,8.3,8.0,7.4,5.4,3.7,2.9,3.0,4.2,5.7
Východné Slovensko,Ženy,vek,55+,2.7,3.7,4.7,5.3,4.3,4.4,3.8,5.0,4.4,6.7,5.2,6.5,5.8,4.4,2.8,3.3,2.8,1.5,1.2,1.3,1.5
Východné Slovensko,Muži,vzdelanie,Základné a bez vzdelania,17.1,17.0,15.9,15.4,15.9,12.2,17.0,14.6,16.0,14.4,17.4,16.6,16.1,20.6,20.8,21.5,15.0,18.6,21.2,28.8,35.0
Východné Slovensko,Ženy,vzdelanie,Základné a bez vzdelania,13.7,17.5,14.8,15.2,14.2,12.4,13.4,13.0,12.2,10.3,13.3,12.4,12.9,15.3,15.2,16.1,12.3,14.2,15.8,21.3,26.7
Východné Slovensko,Muži,vzdelanie,Nižšie stredné,8.3,8.6,12.7,12.5,13.6,12.2,8.8,12.6,15.7,15.7,18.6,29.1,33.1,29.7,31.2,31.2,24.5,16.9,22.2,28.3,34.7
Východné Slovensko,Ženy,vzdelanie,Nižšie stredné,8.4,9.5,9.3,8.5,8.4,8.6,5.4,8.6,9.4,12.6,15.8,15.4,16.8,17.3,17.1,18.8,17.9,14.7,16.2,21.4,22.8
Východné Slovensko,Muži,vzdelanie,Úplné stredné,8.5,6.9,10.1,9.2,13.0,12.6,8.2,7.7,15.3,16.8,17.5,19.3,23.6,22.2,23.0,20.8,20.9,10.7,12.3,15.1,18.8
Východné Slovensko,Ženy,vzdelanie,Úplné stredné,8.8,7.9,9.9,10.8,12.7,13.6,11.2,13.8,15.4,21.6,21.4,21.5,24.6,24.8,21.3,20.5,21.7,16.3,14.7,21.0,25.3
Východné Slovensko,Muži,vzdelanie,Vysokoškolské,4.4,1.8,2.4,2.5,2.8,4.5,2.7,3.0,3.4,3.6,4.6,4.5,6.7,6.2,5.0,4.7,3.1,1.6,1.3,1.3,2.2
Východné Slovensko,Ženy,vzdelanie,Vysokoškolské,3.5,5.2,4.7,5.0,3.5,5.3,3.6,5.3,6.0,6.5,7.1,8.9,8.0,7.8,6.6,4.3,3.0,3.0,2.9,2.2,1.7
Prešovský kraj,Muži,vek,15-24,4.4,6.8,6.4,4.0,4.9,4.0,5.0,4.2,7.4,7.6,8.1,8.3,9.8,10.9,9.5,9.7,9.1,5.6,7.4,9.5,10.5
Prešovský kraj,Ženy,vek,15-24,3.1,3.0,2.4,4.1,3.4,3.6,3.9,2.3,4.3,3.8,5.0,4.6,4.8,6.1,5.9,7.2,6.9,4.9,4.3,7.4,8.1
Prešovský kraj,Muži,vek,25-34,5.5,4.9,4.4,6.0,8.0,7.9,6.8,3.9,7.7,6.4,7.9,13.9,12.4,10.4,11.6,11.5,9.4,6.7,7.4,8.9,13.0
Prešovský kraj,Ženy,vek,25-34,5.1,5.1,5.5,4.0,4.3,5.3,4.8,7.1,6.4,9.1,9.3,9.9,10.7,10.3,9.4,9.2,9.3,6.9,7.6,8.7,8.0
Prešovský kraj,Muži,vek,35-44,4.9,4.0,4.6,6.3,5.6,5.2,4.4,4.1,6.2,7.8,9.3,6.6,6.7,6.5,7.2,7.8,5.4,4.1,5.7,8.0,8.6
Prešovský kraj,Ženy,vek,35-44,6.5,6.7,5.6,5.5,5.5,7.6,5.1,6.4,6.7,6.6,9.0,7.2,7.3,7.2,7.7,10.2,7.8,6.5,6.4,9.0,9.6
Prešovský kraj,Muži,vek,45-54,2.1,2.7,3.0,2.1,3.3,4.1,2.6,3.9,4.0,5.1,6.3,6.9,7.4,7.5,6.4,5.9,4.9,5.2,5.0,6.6,9.0
Prešovský kraj,Ženy,vek,45-54,5.3,5.0,4.7,5.3,4.6,4.5,4.1,3.0,5.3,5.4,6.9,5.7,6.1,6.5,6.2,6.8,6.3,6.8,6.1,7.0,9.3
Prešovský kraj,Muži,vek,55+,1.0,1.8,3.0,3.6,3.2,3.5,2.2,2.5,2.5,3.8,2.9,3.5,4.4,3.2,3.3,2.4,2.1,1.4,1.4,2.5,3.2
Prešovský kraj,Ženy,vek,55+,1.7,1.9,3.0,2.9,2.7,2.8,1.8,2.6,1.6,3.5,2.0,2.7,2.2,1.4,0.9,1.5,1.1,0.6,0.5,0.4,0.8
Prešovský kraj,Muži,vzdelanie,Základné a bez vzdelania,10.0,10.7,9.5,9.1,9.3,9.3,11.5,6.4,10.0,10.0,11.8,10.1,9.0,11.5,9.2,12.1,9.5,9.7,11.7,16.8,20.8
Prešovský kraj,Ženy,vzdelanie,Základné a bez vzdelania,10.0,10.8,8.7,9.2,6.8,9.5,9.6,6.5,7.4,6.6,8.9,7.5,6.8,7.6,7.5,10.0,8.4,7.9,10.0,12.8,14.0
Prešovský kraj,Muži,vzdelanie,Nižšie stredné,3.5,4.9,6.9,6.9,6.9,7.9,4.3,6.6,8.0,9.0,11.3,17.6,18.2,13.3,14.3,13.7,10.1,6.8,8.4,11.0,14.3
Prešovský kraj,Ženy,vzdelanie,Nižšie stredné,5.0,4.7,4.6,4.1,4.7,5.3,2.7,5.6,4.8,5.7,8.2,7.2,8.7,7.8,8.1,10.7,8.9,8.0,8.4,10.8,10.2
Prešovský kraj,Muži,vzdelanie,Úplné stredné,2.7,4.0,4.2,5.0,7.3,5.1,3.8,4.0,8.1,9.7,9.0,8.8,9.9,10.5,11.5,9.8,9.9,5.7,5.9,7.0,8.1
Prešovský kraj,Ženy,vzdelanie,Úplné stredné,4.3,4.4,6.0,6.2,6.8,5.6,5.9,5.4,8.2,12.0,11.6,10.8,11.7,12.2,10.8,11.6,12.1,8.0,5.7,8.2,10.9
Prešovský kraj,Muži,vzdelanie,Vysokoškolské,1.7,0.7,0.9,1.1,1.5,2.5,1.4,1.7,1.6,2.1,2.4,2.7,3.4,3.2,2.8,1.7,1.5,0.9,0.9,0.7,1.0
Prešovský kraj,Ženy,vzdelanie,Vysokoškolské,2.3,1.8,2.0,2.1,2.1,3.2,1.6,3.9,3.9,4.3,3.6,4.6,3.8,3.9,3.8,2.4,2.2,1.9,0.9,0.8,0.7
Košický kraj,Muži,vek,15-24,2.9,3.1,5.5,3.6,4.9,4.5,3.3,4.5,5.0,3.8,4.3,5.6,8.3,7.6,8.8,9.5,6.3,6.0,8.7,9.7,12.8
Košický kraj,Ženy,vek,15-24,2.0,3.2,2.7,2.1,2.8,2.8,2.3,2.8,2.8,4.2,3.2,4.5,4.4,5.8,5.7,3.6,5.2,4.1,4.9,6.5,8.8
Košický kraj,Muži,vek,25-34,6.7,4.3,4.8,3.5,3.4,2.8,2.9,5.3,6.1,6.3,8.1,9.9,11.9,12.4,13.1,11.6,10.0,6.5,8.8,11.0,13.0
Košický kraj,Ženy,vek,25-34,3.2,4.7,3.6,4.0,4.0,4.3,3.4,4.1,4.8,5.2,6.0,6.7,8.7,8.8,7.4,6.3,5.0,6.2,6.3,8.2,12.4
Košický kraj,Muži,vek,35-44,5.8,3.1,5.3,5.1,5.7,4.4,4.5,3.7,4.7,3.3,3.9,5.7,8.3,8.9,7.4,8.4,7.7,5.8,6.5,8.8,10.9
Košický kraj,Ženy,vek,35-44,3.4,6.0,6.1,5.5,5.8,3.9,3.1,5.2,4.8,5.1,7.2,8.1,8.1,7.9,7.6,7.2,6.4,5.8,5.7,8.0,10.2
Košický kraj,Muži,vek,45-54,2.3,2.3,2.4,3.4,3.6,3.0,3.5,4.0,4.4,3.9,4.8,6.3,6.6,6.4,8.9,8.5,6.7,5.0,4.5,6.8,7.2
Košický kraj,Ženy,vek,45-54,3.2,2.6,3.3,3.6,4.2,3.6,3.1,4.8,3.5,5.0,5.9,4.9,6.5,8.3,7.5,6.0,5.1,5.5,6.9,9.7,8.5
Košický kraj,Muži,vek,55+,2.5,1.2,1.7,2.0,2.6,2.0,1.6,1.8,2.5,2.5,2.6,3.0,3.8,4.9,4.1,3.0,1.6,1.4,1.6,1.7,2.6
Košický kraj,Ženy,vek,55+,1.0,1.9,1.7,2.4,1.6,1.7,2.0,2.3,2.8,3.2,3.1,3.7,3.7,3.0,2.0,1.8,1.7,0.9,0.8,0.9,0.7
Košický kraj,Muži,vzdelanie,Základné a bez vzdelania,7.1,6.3,6.4,6.3,6.6,2.9,5.5,8.2,6.1,4.4,5.6,6.6,7.1,9.1,11.6,9.4,5.4,8.9,9.5,12.0,14.3
Košický kraj,Ženy,vzdelanie,Základné a bez vzdelania,3.6,6.7,6.1,6.0,7.3,2.9,3.8,6.5,4.9,3.7,4.4,4.9,6.1,7.7,7.7,6.1,4.0,6.3,5.8,8.6,12.6
Košický kraj,Muži,vzdelanie,Nižšie stredné,4.8,3.7,5.8,5.6,6.7,4.3,4.6,6.0,7.7,6.7,7.3,11.6,14.8,16.4,17.0,17.5,14.5,10.1,13.8,17.3,20.4
Košický kraj,Ženy,vzdelanie,Nižšie stredné,3.5,4.7,4.7,4.4,3.8,3.2,2.7,3.1,4.6,6.9,7.6,8.1,8.0,9.5,9.0,8.2,9.1,6.7,7.8,10.6,12.5
Košický kraj,Muži,vzdelanie,Úplné stredné,5.8,2.8,5.9,4.2,5.7,7.5,4.4,3.7,7.2,7.1,8.5,10.5,13.7,11.8,11.5,11.0,11.0,5.1,6.4,8.1,10.6
Košický kraj,Ženy,vzdelanie,Úplné stredné,4.5,3.5,3.9,4.5,5.8,8.0,5.3,8.4,7.1,9.7,9.9,10.7,12.9,12.6,10.5,8.8,9.6,8.3,9.0,12.7,14.4
Košický kraj,Muži,vzdelanie,Vysokoškolské,2.6,1.2,1.5,1.5,1.3,2.0,1.4,1.4,1.8,1.5,2.2,1.8,3.3,3.0,2.2,3.0,1.5,0.7,0.4,0.6,1.2
Košický kraj,Ženy,vzdelanie,Vysokoškolské,1.2,3.4,2.7,,2.8,2.1,2.0,1.4,2.2,2.3,3.6,4.3,4.2,3.9,2.8,1.8,0.8,1.1,2.0,1.5,1.0
