Pohlavie,Odvetvie,Rok,Hodnota
Spolu,K Finančné a poisťovacie činnosti,2020,"2,4"
Spolu,K Finančné a poisťovacie činnosti,2021,"2,0"
Spolu,K Finančné a poisťovacie činnosti,2022,"1,0"
Spolu,K Finančné a poisťovacie činnosti,2023,"0,8"
Spolu,K Finančné a poisťovacie činnosti,2024,"0,8"
Spolu,K Finančné a poisťovacie činnosti,2025,"1,7"
Spolu,L Činnosti v oblasti nehnuteľností,2008,"0,2"
Spolu,L Činnosti v oblasti nehnuteľností,2009,-
Spolu,L Činnosti v oblasti nehnuteľností,2010,"0,4"
Spolu,L Činnosti v oblasti nehnuteľností,2011,"0,8"
Spolu,L Činnosti v oblasti nehnuteľností,2012,"0,7"
Spolu,L Činnosti v oblasti nehnuteľností,2013,"0,3"
Spolu,L Činnosti v oblasti nehnuteľností,2014,"0,4"
Spolu,L Činnosti v oblasti nehnuteľností,2015,"0,8"
Spolu,L Činnosti v oblasti nehnuteľností,2016,"0,6"
Spolu,L Činnosti v oblasti nehnuteľností,2017,"0,7"
Spolu,L Činnosti v oblasti nehnuteľností,2018,"0,5"
Spolu,L Činnosti v oblasti nehnuteľností,2019,"0,3"
Spolu,L Činnosti v oblasti nehnuteľností,2020,"0,2"
Spolu,L Činnosti v oblasti nehnuteľností,2021,-
Spolu,L Činnosti v oblasti nehnuteľností,2022,-
Spolu,L Činnosti v oblasti nehnuteľností,2023,-
Spolu,L Činnosti v oblasti nehnuteľností,2024,"0,4"
Spolu,L Činnosti v oblasti nehnuteľností,2025,"0,8"
Spolu,"M Odborné, vedecké a technické činnosti",2008,"1,2"
Spolu,"M Odborné, vedecké a technické činnosti",2009,"1,8"
Spolu,"M Odborné, vedecké a technické činnosti",2010,"2,3"
Spolu,"M Odborné, vedecké a technické činnosti",2011,"2,3"
Spolu,"M Odborné, vedecké a technické činnosti",2012,"2,7"
Spolu,"M Odborné, vedecké a technické činnosti",2013,"2,9"
Spolu,"M Odborné, vedecké a technické činnosti",2014,"2,0"
Spolu,"M Odborné, vedecké a technické činnosti",2015,"3,6"
Spolu,"M Odborné, vedecké a technické činnosti",2016,"3,4"
Spolu,"M Odborné, vedecké a technické činnosti",2017,"2,7"
Spolu,"M Odborné, vedecké a technické činnosti",2018,"1,4"
Spolu,"M Odborné, vedecké a technické činnosti",2019,"0,6"
Spolu,"M Odborné, vedecké a technické činnosti",2020,"2,0"
Spolu,"M Odborné, vedecké a technické činnosti",2021,"1,4"
Spolu,"M Odborné, vedecké a technické činnosti",2022,"1,3"
Spolu,"M Odborné, vedecké a technické činnosti",2023,"1,6"
Spolu,"M Odborné, vedecké a technické činnosti",2024,"2,4"
Spolu,"M Odborné, vedecké a technické činnosti",2025,"1,1"
Spolu,N Administratívne a podporné služby,2008,"2,8"
Spolu,N Administratívne a podporné služby,2009,"6,2"
Spolu,N Administratívne a podporné služby,2010,"7,2"
Spolu,N Administratívne a podporné služby,2011,"6,8"
Spolu,N Administratívne a podporné služby,2012,"8,7"
Spolu,N Administratívne a podporné služby,2013,"6,6"
Spolu,N Administratívne a podporné služby,2014,"5,0"
Spolu,N Administratívne a podporné služby,2015,"7,0"
Spolu,N Administratívne a podporné služby,2016,"7,2"
Spolu,N Administratívne a podporné služby,2017,"5,6"
Spolu,N Administratívne a podporné služby,2018,"3,5"
Spolu,N Administratívne a podporné služby,2019,"3,1"
Spolu,N Administratívne a podporné služby,2020,"3,1"
Spolu,N Administratívne a podporné služby,2021,"5,6"
Spolu,N Administratívne a podporné služby,2022,"3,2"
Spolu,N Administratívne a podporné služby,2023,"2,3"
Spolu,N Administratívne a podporné služby,2024,"1,5"
Spolu,N Administratívne a podporné služby,2025,"1,7"
Spolu,"Nezamestnaní, ktorí ešte nemali zam.",2008,"64,5"
Spolu,"Nezamestnaní, ktorí ešte nemali zam.",2009,"66,6"
Spolu,"Nezamestnaní, ktorí ešte nemali zam.",2010,"78,8"
Spolu,"Nezamestnaní, ktorí ešte nemali zam.",2011,"84,1"
Spolu,"Nezamestnaní, ktorí ešte nemali zam.",2012,"94,7"
Spolu,"Nezamestnaní, ktorí ešte nemali zam.",2013,"90,0"
Spolu,"Nezamestnaní, ktorí ešte nemali zam.",2014,"86,4"
Spolu,"Nezamestnaní, ktorí ešte nemali zam.",2015,"70,1"
Spolu,"Nezamestnaní, ktorí ešte nemali zam.",2016,"56,5"
Spolu,"Nezamestnaní, ktorí ešte nemali zam.",2017,"54,8"
Spolu,"Nezamestnaní, ktorí ešte nemali zam.",2018,"46,1"
Spolu,"Nezamestnaní, ktorí ešte nemali zam.",2019,"39,4"
Spolu,"Nezamestnaní, ktorí ešte nemali zam.",2020,"37,7"
Spolu,"Nezamestnaní, ktorí ešte nemali zam.",2021,"47,1"
Spolu,"Nezamestnaní, ktorí ešte nemali zam.",2022,"49,0"
Spolu,"Nezamestnaní, ktorí ešte nemali zam.",2023,"51,8"
Spolu,"Nezamestnaní, ktorí ešte nemali zam.",2024,"53,4"
Spolu,"Nezamestnaní, ktorí ešte nemali zam.",2025,"46,6"
Spolu,Nezistené,2008,"52,1"
Spolu,Nezistené,2009,"45,7"
Spolu,Nezistené,2010,"49,3"
Spolu,Nezistené,2011,"47,2"
Spolu,Nezistené,2012,"45,3"
Spolu,Nezistené,2013,"50,6"
Spolu,Nezistené,2014,"53,3"
Spolu,Nezistené,2015,"45,2"
Spolu,Nezistené,2016,"37,2"
Spolu,Nezistené,2017,"28,5"
Spolu,Nezistené,2018,"23,1"
Spolu,Nezistené,2019,"20,8"
Spolu,Nezistené,2020,"15,5"
Spolu,Nezistené,2021,"15,0"
Spolu,Nezistené,2022,"17,0"
Spolu,Nezistené,2023,"19,9"
Spolu,Nezistené,2024,"17,0"
Spolu,Nezistené,2025,"17,4"
Spolu,O Verejná správa a obrana; povinné sociálne zabezpečenie,2008,"6,5"
Spolu,O Verejná správa a obrana; povinné sociálne zabezpečenie,2009,"8,0"
Spolu,O Verejná správa a obrana; povinné sociálne zabezpečenie,2010,"13,7"
Spolu,O Verejná správa a obrana; povinné sociálne zabezpečenie,2011,"13,1"
Spolu,O Verejná správa a obrana; povinné sociálne zabezpečenie,2012,"16,9"
Spolu,O Verejná správa a obrana; povinné sociálne zabezpečenie,2013,"16,4"
Spolu,O Verejná správa a obrana; povinné sociálne zabezpečenie,2014,"14,3"
Spolu,O Verejná správa a obrana; povinné sociálne zabezpečenie,2015,"18,0"
Spolu,O Verejná správa a obrana; povinné sociálne zabezpečenie,2016,"14,1"
Spolu,O Verejná správa a obrana; povinné sociálne zabezpečenie,2017,"12,9"
Spolu,O Verejná správa a obrana; povinné sociálne zabezpečenie,2018,"14,2"
Spolu,O Verejná správa a obrana; povinné sociálne zabezpečenie,2019,"9,7"
Spolu,O Verejná správa a obrana; povinné sociálne zabezpečenie,2020,"10,7"
Spolu,O Verejná správa a obrana; povinné sociálne zabezpečenie,2021,"6,7"
Spolu,O Verejná správa a obrana; povinné sociálne zabezpečenie,2022,"6,0"
Spolu,O Verejná správa a obrana; povinné sociálne zabezpečenie,2023,"4,3"
Spolu,O Verejná správa a obrana; povinné sociálne zabezpečenie,2024,"5,0"
Spolu,O Verejná správa a obrana; povinné sociálne zabezpečenie,2025,"7,5"
Spolu,P Vzdelávanie,2008,"5,8"
Spolu,P Vzdelávanie,2009,"4,1"
Spolu,P Vzdelávanie,2010,"4,4"
Spolu,P Vzdelávanie,2011,"4,8"
Spolu,P Vzdelávanie,2012,"3,8"
Spolu,P Vzdelávanie,2013,"5,2"
Spolu,P Vzdelávanie,2014,"5,6"
Spolu,P Vzdelávanie,2015,"5,6"
Spolu,P Vzdelávanie,2016,"7,1"
Spolu,P Vzdelávanie,2017,"4,8"
Spolu,P Vzdelávanie,2018,"3,7"
Spolu,P Vzdelávanie,2019,"2,9"
Spolu,P Vzdelávanie,2020,"3,8"
Spolu,P Vzdelávanie,2021,"3,5"
Spolu,P Vzdelávanie,2022,"4,4"
Spolu,P Vzdelávanie,2023,"2,4"
Spolu,P Vzdelávanie,2024,"3,7"
Spolu,P Vzdelávanie,2025,"5,2"
Spolu,Q Zdravotníctvo a sociálna pomoc,2008,"6,4"
Spolu,Q Zdravotníctvo a sociálna pomoc,2009,"6,4"
Spolu,Q Zdravotníctvo a sociálna pomoc,2010,"7,3"
Spolu,Q Zdravotníctvo a sociálna pomoc,2011,"5,2"
Spolu,Q Zdravotníctvo a sociálna pomoc,2012,"7,0"
Spolu,Q Zdravotníctvo a sociálna pomoc,2013,"9,4"
Spolu,Q Zdravotníctvo a sociálna pomoc,2014,"10,7"
Spolu,Q Zdravotníctvo a sociálna pomoc,2015,"7,6"
Spolu,Q Zdravotníctvo a sociálna pomoc,2016,"7,3"
Spolu,Q Zdravotníctvo a sociálna pomoc,2017,"5,8"
Spolu,Q Zdravotníctvo a sociálna pomoc,2018,"6,2"
Spolu,Q Zdravotníctvo a sociálna pomoc,2019,"4,6"
Spolu,Q Zdravotníctvo a sociálna pomoc,2020,"4,4"
Spolu,Q Zdravotníctvo a sociálna pomoc,2021,"5,6"
Spolu,Q Zdravotníctvo a sociálna pomoc,2022,"5,5"
Spolu,Q Zdravotníctvo a sociálna pomoc,2023,"3,7"
Spolu,Q Zdravotníctvo a sociálna pomoc,2024,"2,5"
Spolu,Q Zdravotníctvo a sociálna pomoc,2025,"3,6"
Spolu,"R Umenie, zábava a rekreácia",2008,"2,2"
Spolu,"R Umenie, zábava a rekreácia",2009,"1,5"
Spolu,"R Umenie, zábava a rekreácia",2010,"2,5"
Spolu,"R Umenie, zábava a rekreácia",2011,"2,7"
Spolu,"R Umenie, zábava a rekreácia",2012,"2,9"
Spolu,"R Umenie, zábava a rekreácia",2013,"2,4"
Spolu,"R Umenie, zábava a rekreácia",2014,"2,6"
Spolu,"R Umenie, zábava a rekreácia",2015,"2,1"
Spolu,"R Umenie, zábava a rekreácia",2016,"3,2"
Spolu,"R Umenie, zábava a rekreácia",2017,"1,6"
Spolu,"R Umenie, zábava a rekreácia",2018,"0,9"
Spolu,"R Umenie, zábava a rekreácia",2019,"1,2"
Spolu,"R Umenie, zábava a rekreácia",2020,"1,9"
Spolu,"R Umenie, zábava a rekreácia",2021,"2,2"
Spolu,"R Umenie, zábava a rekreácia",2022,"0,2"
Spolu,"R Umenie, zábava a rekreácia",2023,"1,1"
Spolu,"R Umenie, zábava a rekreácia",2024,"1,3"
Spolu,"R Umenie, zábava a rekreácia",2025,"1,9"
Spolu,S Ostatné činnosti,2008,"2,8"
Spolu,S Ostatné činnosti,2009,"2,1"
Spolu,S Ostatné činnosti,2010,"2,9"
Spolu,S Ostatné činnosti,2011,"3,5"
Spolu,S Ostatné činnosti,2012,"3,0"
Spolu,S Ostatné činnosti,2013,"2,5"
Spolu,S Ostatné činnosti,2014,"3,8"
Spolu,S Ostatné činnosti,2015,"2,9"
Spolu,S Ostatné činnosti,2016,"1,8"
Spolu,S Ostatné činnosti,2017,"2,5"
Spolu,S Ostatné činnosti,2018,"1,2"
Spolu,S Ostatné činnosti,2019,"0,7"
Spolu,S Ostatné činnosti,2020,"1,5"
Spolu,S Ostatné činnosti,2021,"2,4"
Spolu,S Ostatné činnosti,2022,"1,7"
Spolu,S Ostatné činnosti,2023,"2,0"
Spolu,S Ostatné činnosti,2024,"1,3"
Spolu,S Ostatné činnosti,2025,"1,8"
Spolu,Spolu,2021,"187,6"
Spolu,Spolu,2022,"170,4"
Spolu,Spolu,2023,"161,9"
Spolu,Spolu,2024,"147,7"
Spolu,Spolu,2025,"149,5"
Spolu,T Činnosti domácností ako zamestnávateľov,2008,"0,7"
Spolu,T Činnosti domácností ako zamestnávateľov,2009,"0,4"
Spolu,T Činnosti domácností ako zamestnávateľov,2010,"0,1"
Spolu,T Činnosti domácností ako zamestnávateľov,2011,"0,3"
Spolu,T Činnosti domácností ako zamestnávateľov,2012,"0,3"
Spolu,T Činnosti domácností ako zamestnávateľov,2013,"0,3"
Spolu,T Činnosti domácností ako zamestnávateľov,2014,-
Spolu,T Činnosti domácností ako zamestnávateľov,2015,"0,1"
Spolu,T Činnosti domácností ako zamestnávateľov,2016,"0,1"
Spolu,T Činnosti domácností ako zamestnávateľov,2017,-
Spolu,T Činnosti domácností ako zamestnávateľov,2018,"0,1"
Spolu,T Činnosti domácností ako zamestnávateľov,2019,-
Spolu,T Činnosti domácností ako zamestnávateľov,2020,"0,2"
Spolu,T Činnosti domácností ako zamestnávateľov,2021,"0,1"
Spolu,T Činnosti domácností ako zamestnávateľov,2022,-
Spolu,T Činnosti domácností ako zamestnávateľov,2023,-
Spolu,T Činnosti domácností ako zamestnávateľov,2024,"0,1"
Spolu,T Činnosti domácností ako zamestnávateľov,2025,"0,1"
Spolu,U Činnosti extrateritoriálnych organizácií a združení,2008,-
Spolu,U Činnosti extrateritoriálnych organizácií a združení,2009,-
Spolu,U Činnosti extrateritoriálnych organizácií a združení,2010,-
Spolu,U Činnosti extrateritoriálnych organizácií a združení,2011,-
Spolu,U Činnosti extrateritoriálnych organizácií a združení,2012,-
Spolu,U Činnosti extrateritoriálnych organizácií a združení,2013,-
Spolu,U Činnosti extrateritoriálnych organizácií a združení,2014,-
Spolu,U Činnosti extrateritoriálnych organizácií a združení,2015,"0,2"
Spolu,U Činnosti extrateritoriálnych organizácií a združení,2016,-
Spolu,U Činnosti extrateritoriálnych organizácií a združení,2017,"0,1"
Spolu,U Činnosti extrateritoriálnych organizácií a združení,2018,-
Spolu,U Činnosti extrateritoriálnych organizácií a združení,2019,-
Spolu,U Činnosti extrateritoriálnych organizácií a združení,2020,-
Spolu,U Činnosti extrateritoriálnych organizácií a združení,2021,-
Spolu,U Činnosti extrateritoriálnych organizácií a združení,2022,-
Spolu,U Činnosti extrateritoriálnych organizácií a združení,2023,-
Spolu,U Činnosti extrateritoriálnych organizácií a združení,2024,-
Spolu,U Činnosti extrateritoriálnych organizácií a združení,2025,-
Ženy,"A Poľnohospodárstvo, lesníctvo a rybolov",2008,"4,2"
Ženy,"A Poľnohospodárstvo, lesníctvo a rybolov",2009,"4,2"
Ženy,"A Poľnohospodárstvo, lesníctvo a rybolov",2010,"3,1"
Ženy,"A Poľnohospodárstvo, lesníctvo a rybolov",2011,"2,9"
Ženy,"A Poľnohospodárstvo, lesníctvo a rybolov",2012,"2,9"
Ženy,"A Poľnohospodárstvo, lesníctvo a rybolov",2013,"3,7"
Ženy,"A Poľnohospodárstvo, lesníctvo a rybolov",2014,"2,6"
Ženy,"A Poľnohospodárstvo, lesníctvo a rybolov",2015,"1,7"
Ženy,"A Poľnohospodárstvo, lesníctvo a rybolov",2016,"2,4"
Ženy,"A Poľnohospodárstvo, lesníctvo a rybolov",2017,"1,0"
Ženy,"A Poľnohospodárstvo, lesníctvo a rybolov",2018,"1,7"
Ženy,"A Poľnohospodárstvo, lesníctvo a rybolov",2019,"1,0"
Ženy,"A Poľnohospodárstvo, lesníctvo a rybolov",2020,"1,4"
Ženy,"A Poľnohospodárstvo, lesníctvo a rybolov",2021,"1,2"
Ženy,"A Poľnohospodárstvo, lesníctvo a rybolov",2022,"0,6"
Ženy,"A Poľnohospodárstvo, lesníctvo a rybolov",2023,"0,6"
Ženy,"A Poľnohospodárstvo, lesníctvo a rybolov",2024,"0,4"
Ženy,"A Poľnohospodárstvo, lesníctvo a rybolov",2025,"0,1"
Ženy,B Ťažba a dobývanie,2008,-
Ženy,B Ťažba a dobývanie,2009,"0,2"
Ženy,B Ťažba a dobývanie,2010,"0,1"
Ženy,B Ťažba a dobývanie,2011,"0,3"
Ženy,B Ťažba a dobývanie,2012,"0,3"
Ženy,B Ťažba a dobývanie,2013,"0,1"
Ženy,B Ťažba a dobývanie,2014,-
Ženy,B Ťažba a dobývanie,2015,-
Ženy,B Ťažba a dobývanie,2016,-
Ženy,B Ťažba a dobývanie,2017,"0,6"
Ženy,B Ťažba a dobývanie,2018,"0,2"
Ženy,B Ťažba a dobývanie,2019,-
Ženy,B Ťažba a dobývanie,2020,-
Ženy,B Ťažba a dobývanie,2021,-
Ženy,B Ťažba a dobývanie,2022,-
Ženy,B Ťažba a dobývanie,2023,-
Ženy,B Ťažba a dobývanie,2024,-
Ženy,B Ťažba a dobývanie,2025,"0,0"
Ženy,C Priemyselná výroba,2008,"24,5"
Ženy,C Priemyselná výroba,2009,"41,7"
Ženy,C Priemyselná výroba,2010,"46,8"
Ženy,C Priemyselná výroba,2011,"37,2"
Ženy,C Priemyselná výroba,2012,"36,1"
Ženy,C Priemyselná výroba,2013,"37,0"
Ženy,C Priemyselná výroba,2014,"29,7"
Ženy,C Priemyselná výroba,2015,"31,9"
Ženy,C Priemyselná výroba,2016,"22,7"
Ženy,C Priemyselná výroba,2017,"16,5"
Ženy,C Priemyselná výroba,2018,"13,6"
Ženy,C Priemyselná výroba,2019,"12,3"
Ženy,C Priemyselná výroba,2020,"15,4"
Ženy,C Priemyselná výroba,2021,"12,6"
Ženy,C Priemyselná výroba,2022,"13,6"
Ženy,C Priemyselná výroba,2023,"10,2"
Ženy,C Priemyselná výroba,2024,"9,1"
Ženy,C Priemyselná výroba,2025,"8,6"
Ženy,"D Dodávka elektriny, plynu, pary a studeného vzduchu",2008,"0,1"
Ženy,"D Dodávka elektriny, plynu, pary a studeného vzduchu",2009,"0,4"
Ženy,"D Dodávka elektriny, plynu, pary a studeného vzduchu",2010,"0,2"
Ženy,"D Dodávka elektriny, plynu, pary a studeného vzduchu",2011,-
Ženy,"D Dodávka elektriny, plynu, pary a studeného vzduchu",2012,"0,1"
Ženy,"D Dodávka elektriny, plynu, pary a studeného vzduchu",2013,"0,4"
Ženy,"D Dodávka elektriny, plynu, pary a studeného vzduchu",2014,"0,4"
Ženy,"D Dodávka elektriny, plynu, pary a studeného vzduchu",2015,"0,2"
Ženy,"D Dodávka elektriny, plynu, pary a studeného vzduchu",2016,"0,3"
Ženy,"D Dodávka elektriny, plynu, pary a studeného vzduchu",2017,-
Ženy,"D Dodávka elektriny, plynu, pary a studeného vzduchu",2018,"0,1"
Ženy,"D Dodávka elektriny, plynu, pary a studeného vzduchu",2019,"0,6"
Ženy,"D Dodávka elektriny, plynu, pary a studeného vzduchu",2020,"0,2"
Ženy,"D Dodávka elektriny, plynu, pary a studeného vzduchu",2021,"0,4"
Ženy,"D Dodávka elektriny, plynu, pary a studeného vzduchu",2022,"0,2"
Ženy,"D Dodávka elektriny, plynu, pary a studeného vzduchu",2023,"0,1"
Ženy,"D Dodávka elektriny, plynu, pary a studeného vzduchu",2024,"0,3"
Ženy,"D Dodávka elektriny, plynu, pary a studeného vzduchu",2025,"0,2"
Ženy,"E Dodávka vody, čistenie a odvod odpadových vôd, odpady a služby odstraňovania odpadov",2008,"0,7"
Ženy,"E Dodávka vody, čistenie a odvod odpadových vôd, odpady a služby odstraňovania odpadov",2009,"1,6"
Ženy,"E Dodávka vody, čistenie a odvod odpadových vôd, odpady a služby odstraňovania odpadov",2010,"2,2"
Ženy,"E Dodávka vody, čistenie a odvod odpadových vôd, odpady a služby odstraňovania odpadov",2011,"1,5"
Ženy,"E Dodávka vody, čistenie a odvod odpadových vôd, odpady a služby odstraňovania odpadov",2012,"0,4"
Ženy,"E Dodávka vody, čistenie a odvod odpadových vôd, odpady a služby odstraňovania odpadov",2013,"0,8"
Ženy,"E Dodávka vody, čistenie a odvod odpadových vôd, odpady a služby odstraňovania odpadov",2014,"0,7"
Ženy,"E Dodávka vody, čistenie a odvod odpadových vôd, odpady a služby odstraňovania odpadov",2015,"0,3"
Ženy,"E Dodávka vody, čistenie a odvod odpadových vôd, odpady a služby odstraňovania odpadov",2016,"0,8"
Ženy,"E Dodávka vody, čistenie a odvod odpadových vôd, odpady a služby odstraňovania odpadov",2017,"0,3"
Ženy,"E Dodávka vody, čistenie a odvod odpadových vôd, odpady a služby odstraňovania odpadov",2018,"0,2"
Ženy,"E Dodávka vody, čistenie a odvod odpadových vôd, odpady a služby odstraňovania odpadov",2019,"0,8"
Ženy,"E Dodávka vody, čistenie a odvod odpadových vôd, odpady a služby odstraňovania odpadov",2020,"0,7"
Ženy,"E Dodávka vody, čistenie a odvod odpadových vôd, odpady a služby odstraňovania odpadov",2021,"0,4"
Ženy,"E Dodávka vody, čistenie a odvod odpadových vôd, odpady a služby odstraňovania odpadov",2022,"0,2"
Ženy,"E Dodávka vody, čistenie a odvod odpadových vôd, odpady a služby odstraňovania odpadov",2023,"0,2"
